post_id,date,platform,topic,keywords,hashtags,sentiment,sentiment_score,user_type,age_group,region,followers_count,views,likes,comments,shares
P108856,2025-03-23,Facebook,Climate & Environment,"carbon emissions, conservation, renewable energy","#Sustainability, #ClimateAction, #RenewableEnergy",Negative,-0.211,Micro-Influencer,18-24,Southeast Asia,43378,288,24,7.0,5
P107053,2025-10-23,TikTok,Sports,world cup,"#Sports, #Championship, #TeamSpirit",Positive,0.471,Regular User,13-17,Europe,597,25,0,0.0,0
P109216,2025-11-04,Instagram,Health & Wellness,fitness routine,"#Fitness, #Wellness",Positive,0.407,Regular User,35-44,Middle East,723,14,0,0.0,0
P104594,2025-05-15,Instagram,Education,scholarship,"#Exams, #StudentLife",NEUTRAL,-0.105,Regular User,35-44,Europe,383,8,0,0.0,0
P101799,2025-12-14,TikTok,Politics,"protest, policy, legislation",#Democracy,Neutral,-0.064,Macro-Influencer,25-34,North America,301983,10854,644,61.0,17
P105488,2025-11-04,Twitter/X,Technology,5G,"#5G, #Innovation",POSITIVE,0.307,Regular User,55+,South Asia,1867,44,3,0.0,0
P105304,2025-10-10,YouTube,Entertainment,celebrity,"#Concert, #AwardSeason, #MovieNight",Positive,0.258,Regular User,35-44,Europe,440,14,0,0.0,0
P108779,2025-11-10,Twitter/X,Education,"student loans, scholarship, curriculum",#EdTech,Neutral,0.076,Regular User,18-24,Southeast Asia,1070,11,0,0.0,0
P102083,2025-08-23,Instagram,Climate & Environment,conservation,"#Sustainability, #GoGreen",Neutral,-0.068,Regular User,18-24,Southeast Asia,553,14,0,0.0,0
P101434,2025-09-05,Twitter/X,Health & Wellness,"public health, mental health, yoga","  #nutrition, #wellness, #selfcare ",Neutral,-0.087,Regular User,45-54,South Asia,154,7,0,0.0,0
P110522,2025-06-22,YouTube,Technology,"AI, 5G",#StartupLife,Neutral,-0.069,Regular User,25-34,South Asia,1351,36,0,0.0,0
P106477,2025-08-11,TikTok,Politics,"campaign, election, debate","#Democracy, #Government",Neutral,0.1,Regular User,25-34,Australia/Oceania,220,7,0,0.0,0
P108260,2025-09-29,LinkedIn,Politics,"voting, debate, budget","#Government, #PolicyReform, #Vote",Neutral,0.02,Micro-Influencer,13-17,Africa,47044,136,8,0.0,0
P104031,2025-07-15,Twitter/X,Politics,"protest, voting, budget","#Election2025, #Protest",Negative,-0.408,Regular User,25-34,Europe,1623,47,4,1.0,0
P100997,2025-10-22,Facebook,Technology,data privacy,"#Gadgets, #5G, #StartupLife",Positive,0.159,Regular User,25-34,Middle East,1667,32,3,0.0,0
P104555,2025-08-31,Instagram,Education,"online learning, edtech","  #education, #studentlife ",Positive,0.583,Regular User,18-24,Middle East,191,22,0,0.0,0
P101424,2025-04-12,Twitter/X,Education,"edtech, curriculum","#OnlineLearning, #StudentLife, #Scholarship",Positive,0.725,Regular User,35-44,South Asia,1411,20,0,0.0,0
P101174,2025-10-03,Twitter/X,Health & Wellness,"public health, yoga","#MentalHealthMatters, #Wellness, #Nutrition",Positive,0.198,Micro-Influencer,25-34,North America,2209,32,1,0.0,0
P110090,2025-06-03,YouTube,Business & Finance,"layoffs, IPO",#Finance,Neutral,-0.006,Regular User,13-17,North America,287,6,0,0.0,0
P102614,2025-06-19,Facebook,Climate & Environment,"sustainability, heatwave","#Sustainability, #Conservation, #GoGreen",Negative,-0.253,Micro-Influencer,35-44,Europe,19223,817,93,13.0,8
P106731,2025-09-27,Twitter/X,Business & Finance,"startup funding, crypto","#Layoffs, #StockMarket, #Inflation",Positive,0.185,Micro-Influencer,25-34,North America,34592,222,34,0.0,2
P107374,2025-01-19,LinkedIn,Business & Finance,"IPO, earnings report, inflation","#Layoffs, #Crypto, #Inflation",Negative,-0.278,Regular User,35-44,Australia/Oceania,857,35,2,0.0,0
P102455,2025-08-30,TikTok,Climate & Environment,"carbon emissions, sustainability, flooding","#Conservation, #Sustainability",Negative,-1.0,Regular User,18-24,Southeast Asia,1676,378,30,5.0,6
P100471,2025-01-26,Facebook,Health & Wellness,public health,#Nutrition,Neutral,0.032,Regular User,35-44,North America,1004,38,3,0.0,0
P102883,2025-04-03,Twitter/X,Entertainment,movie release,"#NewAlbum, #Concert, #StreamingNow",Neutral,0.027,Micro-Influencer,18-24,South America,35270,365,10,5.0,3
P103894,2025-05-12,Twitter/X,Business & Finance,"IPO, layoffs, startup funding","#Inflation, #Finance",NEGATIVE,-0.399,Regular User,25-34,Southeast Asia,1719,74,8,1.0,1
P104791,2025-04-03,Twitter/X,Entertainment,"concert, box office","#CelebNews, #AwardSeason, #MovieNight",Positive,0.223,Regular User,25-34,Southeast Asia,683,14,0,0.0,0
P106266,2025-07-08,LinkedIn,Education,"student loans, edtech, curriculum","#StudentLife, #Scholarship, #Exams",Positive,0.286,Verified/Celebrity,55+,Southeast Asia,12859006,86247,4800,1658.0,298
P106721,2025-07-08,YouTube,Business & Finance,startup funding,#Inflation,Neutral,-0.101,Regular User,13-17,North America,603,13,0,0.0,0
P107686,2025-03-29,Facebook,Technology,"cloud computing, robotics","#TechNews, #5G, #AI",Neutral,0.051,Regular User,18-24,Africa,836,18,1,0.0,0
P106720,2025-09-16,Twitter/X,Technology,robotics,#Innovation,Positive,0.284,Micro-Influencer,25-34,Europe,26207,627,82,8.0,3
P104464,2025-07-30,Instagram,Education,"student loans, school reopening","#StudentLife, #EdTech",NEGATIVE,-0.552,Regular User,45-54,Middle East,1671,100,9,2.0,1
P102484,2025-09-11,LinkedIn,Business & Finance,"earnings report, interest rates","#Layoffs, #IPO, #Finance",Neutral,-0.002,Regular User,25-34,Middle East,825,8,0,0.0,0
P110473,2025-12-24,YouTube,Climate & Environment,"carbon emissions, climate change, heatwave","#Conservation, #RenewableEnergy, #GoGreen",Negative,-0.187,Regular User,18-24,Middle East,1052,47,1,0.0,0
P107434,2025-07-30,LinkedIn,Technology,cybersecurity,"#FutureTech, #StartupLife, #CyberSecurity",Neutral,0.081,Macro-Influencer,18-24,Australia/Oceania,159365,4076,345,49.0,31
P107619,2025-09-26,TikTok,Technology,"cloud computing, 5G","#Innovation, #AI, #StartupLife",Neutral,-0.07,Regular User,35-44,Southeast Asia,1273,46,5,0.0,0
P104558,2025-09-02,YouTube,Education,scholarship,"#EdTech, #StudentLife",Neutral,0.101,Regular User,,South Asia,316,8,0,0.0,0
P110958,2025-08-24,TikTok,Health & Wellness,"mental health, public health, wellness tips","#Nutrition, #SelfCare",Negative,-0.412,Regular User,25-34,,775,14,1,0.0,0
P100547,2025-09-01,Instagram,Entertainment,"celebrity, award show","#NewAlbum, #CelebNews, #MovieNight",Positive,0.275,Regular User,18-24,Africa,1317,18,2,0.0,0
P111592,2025-05-08,LinkedIn,Health & Wellness,fitness routine,"#Fitness, #SelfCare, #MentalHealthMatters",Neutral,-0.041,Regular User,25-34,Australia/Oceania,376,8,0,0.0,0
P109303,2025-12-31,Instagram,Technology,"startup, app update","  #cybersecurity, #technews, #startuplife ",Neutral,-0.043,Micro-Influencer,25-34,,14678,128,7,0.0,1
P102799,2025-10-25,Twitter/X,Technology,"startup, AI, cloud computing","#CyberSecurity, #AI, #5G",Negative,-0.225,Regular User,18-24,Middle East,1909,33,2,0.0,0
P110530,2025-02-26,YouTube,Climate & Environment,heatwave,"#GoGreen, #Sustainability",Positive,0.231,Micro-Influencer,18-24,Australia/Oceania,14929,893,95,15.0,3
P103813,2025-06-26,Twitter/X,Politics,"protest, reform, debate","#Election2025, #Vote",Positive,0.435,Regular User,25-34,Southeast Asia,798,14,0,0.0,0
P106850,2025-09-29,Facebook,Sports,coach,"#TeamSpirit, #Transfer, #MatchDay",Positive,0.949,Regular User,18-24,Europe,1065,24,2,0.0,0
P110820,2025-02-28,Twitter/X,Climate & Environment,"conservation, sustainability",#Conservation,Neutral,0.021,Regular User,13-17,Europe,1490,12,0,0.0,0
P107161,2025-02-21,YouTube,Health & Wellness,"vaccine, wellness tips, fitness routine","#SelfCare, #Fitness",Positive,0.305,Regular User,25-34,Australia/Oceania,233,35,5,0.0,0
P103231,2025-04-26,YouTube,Technology,robotics,"#TechNews, #StartupLife, #CyberSecurity",Negative,-0.376,Regular User,25-34,Middle East,514,29,3,0.0,0
P102595,2025-05-10,Twitter/X,Education,"school reopening, edtech","#Scholarship, #StudentLife, #EdTech",Positive,0.555,Verified/Celebrity,35-44,Australia/Oceania,17424267,1102775,57763,10706.0,16585
P104337,2025-12-30,Facebook,Business & Finance,IPO,"#IPO, #Layoffs, #Economy",Neutral,-0.014,Micro-Influencer,45-54,South America,31040,713,16,10.0,6
P110839,2025-05-02,TikTok,Health & Wellness,vaccine,#MentalHealthMatters,Negative,-0.381,Micro-Influencer,18-24,South Asia,28661,1915,179,33.0,36
P105083,2025-08-25,Facebook,Entertainment,"album drop, box office, award show",#Concert,Positive,0.38,Regular User,13-17,Africa,1269,56,1,1.0,0
P103188,2025-05-30,Facebook,Technology,"AI, startup, ChatGPT","#5G, #Gadgets",Positive,0.543,Regular User,25-34,North America,1988,61,6,0.0,0
P103998,2025-11-05,YouTube,Education,"school reopening, edtech","#Exams, #StudentLife, #OnlineLearning",Positive,0.536,Micro-Influencer,25-34,Southeast Asia,17106,667,103,5.0,4
P107008,2025-01-23,Facebook,Technology,"cloud computing, gadgets",#FutureTech,Neutral,-0.046,Regular User,25-34,Southeast Asia,1057,6,0,0.0,0
P109420,2025-08-15,LinkedIn,Business & Finance,"interest rates, startup funding, inflation","#IPO, #Inflation, #Crypto",Positive,0.526,Brand Account,45-54,Australia/Oceania,2624155,40927,2781,130.0,516
P106106,2025-12-11,YouTube,Climate & Environment,"conservation, carbon emissions, heatwave","#GoGreen, #ClimateAction",Negative,-0.516,Regular User,45-54,North America,1502,66,7,0.0,0
P106977,2025-08-08,Facebook,Technology,5G,"#Gadgets, #CyberSecurity",Negative,-0.414,Regular User,45-54,South Asia,261,31,2,0.0,0
P105332,2025-09-14,LinkedIn,Health & Wellness,"mental health, yoga, public health",#Wellness,Neutral,0.019,Regular User,25-34,Africa,921,22,1,0.0,0
P105358,2025-11-01,YouTube,Politics,debate,#Democracy,Negative,-0.596,Regular User,25-34,North America,1185,160,8,0.0,1
P100014,2025-03-07,LinkedIn,Entertainment,"album drop, streaming, award show","#BoxOffice, #NewAlbum, #Concert",Positive,0.83,Regular User,25-34,Middle East,1617,52,3,0.0,0
P104287,2025-10-12,Twitter/X,Entertainment,"movie release, trailer, streaming",#CelebNews,Neutral,0.05,Brand Account,35-44,Australia/Oceania,2306802,23902,965,260.0,141
P103124,2025-08-26,TikTok,Business & Finance,interest rates,"#Crypto, #IPO",Negative,-0.588,Micro-Influencer,35-44,South America,37398,2725,136,77.0,18
P103465,2025-09-14,Instagram,Climate & Environment,"carbon emissions, sustainability, conservation","#Conservation, #ClimateChange",Negative,-1.0,Regular User,25-34,North America,814,28,3,0.0,0
P105444,2025-09-21,TikTok,Entertainment,"series finale, streaming",#BoxOffice,Neutral,-0.103,Regular User,25-34,Southeast Asia,761,19,1,0.0,0
P102257,2025-03-31,Facebook,Entertainment,"movie release, celebrity",#NewAlbum,POSITIVE,1.0,Macro-Influencer,18-24,Australia/Oceania,410184,9935,677,93.0,171
P110693,2025-07-22,LinkedIn,Business & Finance,interest rates,"#StockMarket, #Finance",Negative,-0.639,Regular User,25-34,Africa,1460,27,2,0.0,0
P104000,2025-12-18,YouTube,Technology,"AI, ChatGPT","#TechNews, #Innovation",Positive,0.186,Micro-Influencer,18-24,South Asia,46501,2098,56,14.0,40
P104220,2025-08-22,Facebook,Technology,"cloud computing, data privacy","#FutureTech, #Gadgets, #AI",Positive,0.379,Regular User,55+,South Asia,180,19,2,0.0,0
P104615,2025-07-18,YouTube,Politics,"election, campaign, policy",#PolicyReform,Negative,-0.557,Brand Account,25-34,Europe,2826167,193516,19476,868.0,1018
P102597,2025-02-15,Twitter/X,Health & Wellness,"vaccine, mental health, wellness tips","#MentalHealthMatters, #Yoga, #PublicHealth",Positive,0.29,Regular User,25-34,Southeast Asia,939,51,1,0.0,0
P107949,2025-08-22,TikTok,Education,student loans,"#Exams, #Education",Positive,0.497,Regular User,35-44,Southeast Asia,1421,195,16,2.0,1
P102388,2025-05-21,Twitter/X,Technology,"cybersecurity, data privacy, startup","#TechNews, #Innovation",Positive,0.183,Regular User,18-24,Europe,268,9,0,0.0,0
P102209,2025-01-05,Facebook,Climate & Environment,"flooding, sustainability, heatwave",#GoGreen,Positive,0.209,Regular User,35-44,Europe,1794,57,4,0.0,1
P109523,2025-07-23,LinkedIn,Technology,"ChatGPT, cloud computing, startup",  #5g ,Positive,0.224,Brand Account,45-54,Middle East,1738909,11737,1433,58.0,147
P109914,2025-08-29,YouTube,Technology,"app update, data privacy, cloud computing","#CyberSecurity, #StartupLife",Neutral,0.06,Regular User,18-24,Middle East,1382,56,6,0.0,0
P107090,2025-12-08,Facebook,Health & Wellness,yoga,"  #mentalhealthmatters, #nutrition ",Neutral,0.032,Regular User,45-54,Africa,1359,6,0,0.0,0
P101139,2025-04-13,Instagram,Entertainment,album drop,#BoxOffice,Neutral,0.13,Regular User,18-24,Southeast Asia,1390,52,3,0.0,0
P108439,2025-02-20,YouTube,Education,"exam results, student loans",#OnlineLearning,Neutral,0.082,Regular User,25-34,South America,896,26,2,0.0,0
P102687,2025-03-06,LinkedIn,Politics,debate,"#Democracy, #PolicyReform, #Vote",Negative,-0.528,Regular User,18-24,South Asia,1184,18,1,0.0,0
P104700,2025-04-30,Facebook,Technology,AI,"#Innovation, #CyberSecurity, #StartupLife",Positive,0.839,Regular User,18-24,Africa,636,22,1,0.0,0
P101796,2025-08-14,YouTube,Technology,"startup, data privacy, robotics","  #ai, #innovation ",Positive,0.589,Regular User,18-24,Middle East,1790,287,35,2.0,3
P101331,2025-03-23,YouTube,Climate & Environment,heatwave,"#ClimateChange, #GoGreen, #RenewableEnergy",Neutral,-0.106,Verified/Celebrity,13-17,Europe,4984247,64350,6127,711.0,695
P108046,2025-09-09,Twitter/X,Entertainment,concert,"#Concert, #StreamingNow, #NewAlbum",Positive,0.408,Macro-Influencer,35-44,Australia/Oceania,374272,636,55,2.0,12
P108403,2025-05-27,YouTube,Education,"student loans, edtech, scholarship","#Scholarship, #Education",Negative,-0.681,Regular User,18-24,Australia/Oceania,154,19,2,0.0,0
P108222,2025-08-16,Instagram,Entertainment,"trailer, celebrity","#NewAlbum, #BoxOffice, #CelebNews",Neutral,0.034,Macro-Influencer,18-24,Australia/Oceania,198797,7944,667,28.0,19
P102007,2025-08-18,Twitter/X,Health & Wellness,"wellness tips, vaccine",#Fitness,Positive,0.273,Regular User,18-24,South America,1527,39,1,0.0,0
P108607,2025-08-07,Facebook,Entertainment,"trailer, series finale, movie release","#CelebNews, #AwardSeason",Positive,0.522,Regular User,13-17,Africa,748,39,5,0.0,0
P106293,2025-05-12,LinkedIn,Climate & Environment,"sustainability, climate change, renewable energy",#RenewableEnergy,Negative,-0.587,Regular User,25-34,South Asia,1470,46,2,1.0,0
P107332,2025-05-05,Instagram,Technology,5G,#Innovation,Positive,1.0,Regular User,18-24,North America,855,64,6,1.0,0
P103759,2025-03-10,TikTok,Entertainment,movie release,"#NewAlbum, #AwardSeason",Positive,0.246,Regular User,45-54,Australia/Oceania,1016,82,3,0.0,0
P100127,2025-03-30,TikTok,Sports,coach,"  #matchday, #sports ",Positive,0.238,Regular User,35-44,Europe,196,44,3,0.0,0
P103752,2025-01-12,YouTube,Sports,"tournament, match result",#WorldCup,Negative,-0.152,Brand Account,55+,Australia/Oceania,100981,658,39,3.0,0
P107867,2025-05-25,Twitter/X,Politics,"campaign, reform, government",#Democracy,Neutral,0.024,Micro-Influencer,25-34,South Asia,38441,795,16,15.0,2
P105962,2025-03-23,Instagram,Education,"exam results, online learning","#Scholarship, #StudentLife, #EdTech",Positive,0.281,Micro-Influencer,18-24,Middle East,39174,1331,143,11.0,4
P111260,2025-05-20,YouTube,Technology,"AI, cybersecurity",#Gadgets,Positive,0.348,Micro-Influencer,25-34,North America,21039,361,14,1.0,7
P101825,2025-11-07,YouTube,Climate & Environment,sustainability,#ClimateAction,Negative,-1.0,Micro-Influencer,18-24,South Asia,44042,6748,335,75.0,126
P102286,2025-09-22,Facebook,Sports,"world cup, tournament","#Championship, #GameDay, #TeamSpirit",Neutral,-0.035,Micro-Influencer,18-24,North America,2350,15,1,0.0,0
P100091,2025-11-14,LinkedIn,Climate & Environment,sustainability,"#RenewableEnergy, #ClimateChange, #Conservation",Neutral,0.102,Regular User,45-54,South Asia,312,8,0,0.0,0
P105321,2025-10-27,Instagram,Health & Wellness,sleep health,"#SelfCare, #Fitness",Positive,0.604,Regular User,18-24,Southeast Asia,835,56,5,0.0,0
P100149,2025-07-11,Facebook,Climate & Environment,"renewable energy, flooding","#Conservation, #ClimateAction, #RenewableEnergy",Neutral,0.037,Micro-Influencer,18-24,Europe,43630,642,56,8.0,5
P102995,2025-04-07,Twitter/X,Entertainment,"celebrity, concert, trailer",#NewAlbum,Neutral,0.069,Micro-Influencer,18-24,North America,35909,296,14,1.0,1
P102052,2025-04-20,YouTube,Entertainment,"movie release, album drop","#BoxOffice, #StreamingNow, #AwardSeason",POSITIVE,0.275,Verified/Celebrity,18-24,Europe,6176038,132907,20156,1687.0,2273
P102453,2025-01-16,TikTok,Technology,"gadgets, cloud computing, cybersecurity","#StartupLife, #Gadgets, #CyberSecurity",Positive,0.577,Regular User,25-34,Southeast Asia,763,112,3,0.0,1
P110715,2025-09-04,Instagram,Technology,app update,"#TechNews, #AI",Neutral,-0.089,Micro-Influencer,25-34,South America,14631,525,32,1.0,4
P108053,2025-10-19,Twitter/X,Health & Wellness,nutrition,#Fitness,Negative,-0.327,Regular User,25-34,South Asia,239,18,0,0.0,0
P102307,2025-08-11,Facebook,Business & Finance,earnings report,#IPO,Negative,-0.708,Regular User,35-44,North America,519,31,2,0.0,0
P101844,2025-03-23,Twitter/X,Technology,"cloud computing, robotics","#CyberSecurity, #StartupLife",Neutral,0.08,Regular User,18-24,North America,1591,39,2,0.0,0
P107271,2025-07-06,LinkedIn,Sports,match result,"#TeamSpirit, #WorldCup",Positive,1.0,Regular User,45-54,Europe,1054,92,2,1.0,0
P100159,2025-05-08,Twitter/X,Health & Wellness,"fitness routine, nutrition, yoga","#Nutrition, #Fitness, #SelfCare",Negative,-0.388,Regular User,18-24,South America,498,44,2,1.0,0
P110585,2025-09-01,Instagram,Entertainment,"movie release, streaming, series finale","#AwardSeason, #MovieNight, #NewAlbum",Negative,-0.328,Regular User,25-34,South Asia,1194,66,2,1.0,0
P109742,2025-10-18,Facebook,Sports,"tournament, world cup",#GameDay,Positive,0.342,Regular User,35-44,Africa,1815,108,13,0.0,1
P106424,2025-03-16,YouTube,Politics,"voting, protest",#Vote,Negative,-0.512,Regular User,45-54,South America,1109,74,2,1.0,1
P111909,2025-09-04,TikTok,Business & Finance,stock market,"  #layoffs, #economy, #crypto ",Positive,0.233,Macro-Influencer,18-24,North America,75218,2527,84,40.0,36
P101927,2025-12-07,Twitter/X,Sports,"coach, championship, world cup",#Sports,Positive,0.729,Regular User,18-24,Southeast Asia,1653,20,1,0.0,0
P103192,2025-03-23,Instagram,Business & Finance,"earnings report, layoffs, inflation",#StockMarket,Neutral,-0.13,Micro-Influencer,25-34,South Asia,10111,356,12,4.0,3
P104965,2025-08-15,TikTok,Entertainment,movie release,#AwardSeason,Positive,0.775,Brand Account,18-24,Southeast Asia,203949,48278,1937,917.0,589
P100778,2025-06-17,Instagram,Entertainment,"box office, streaming, trailer",#CelebNews,Neutral,0.07,Regular User,35-44,South Asia,302,7,0,0.0,0
P111032,2025-09-20,Facebook,Business & Finance,"layoffs, startup funding","#Inflation, #Crypto, #IPO",Negative,-0.438,Micro-Influencer,25-34,Middle East,31866,757,37,22.0,13
P109081,2025-07-24,Twitter/X,Technology,startup,"  #cybersecurity, #gadgets ",Positive,0.34,Regular User,55+,Southeast Asia,460,17,1,0.0,0
P103134,2025-04-20,Twitter/X,Sports,transfer news,"#MatchDay, #Transfer, #Championship",Positive,0.151,Regular User,25-34,Australia/Oceania,765,9,0,0.0,0
P100163,2025-08-28,TikTok,Business & Finance,"earnings report, interest rates","#IPO, #Crypto, #Economy",Negative,-0.256,Regular User,45-54,Europe,1605,11,0,0.0,0
P100929,2025-12-15,YouTube,Climate & Environment,"renewable energy, sustainability, conservation","#ClimateAction, #GoGreen",Neutral,-0.086,Regular User,35-44,Middle East,1868,145,5,1.0,1
P100901,2025-03-26,YouTube,Politics,"campaign, debate",#PolicyReform,Negative,-0.192,Micro-Influencer,,South America,9650,263,21,1.0,1
P103415,2025-12-09,LinkedIn,Sports,"transfer news, coach","#WorldCup, #MatchDay",Positive,0.432,Regular User,55+,Africa,306,16,0,0.0,0
P105022,2025-10-04,Twitter/X,Education,"curriculum, student loans","#Exams, #EdTech",Positive,0.298,Regular User,13-17,Australia/Oceania,929,11,0,0.0,0
P108218,2025-08-24,TikTok,Business & Finance,"IPO, startup funding, earnings report","#Layoffs, #Economy",Neutral,-0.082,Regular User,35-44,South America,1940,37,4,0.0,0
P102543,2025-03-05,Twitter/X,Education,"scholarship, curriculum","#EdTech, #Exams, #Education",Positive,0.378,Regular User,45-54,Africa,1218,83,9,0.0,1
P109645,2025-07-19,TikTok,Business & Finance,"layoffs, earnings report, startup funding","#Finance, #IPO",Neutral,-0.036,Brand Account,18-24,Europe,199539,24283,853,377.0,100
